Company;Employees;City;Foundation;Rating;Private;Easy apply;Sector;Job Skills;Street Address;Nif;Men; Women 
Zepter;624;Dublin;5/3/06;4.47;false;false;Finance;Adaptability:Leadership:Communication;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
Facebook;399;Hudson Bay;11/6/13;1.72;true;true;Media;Work Under Pressure:Work Under Pressure:Communication;Carltoun   Walk- 7017;52-353-7868;95'99744318; 4'002556824 
Boeing;388;Oaxaca;13/7/14;1.46;true;false;Information_Technology;Decision Making:Self-motivation:Leadership;Heritage Vale- 1042;91-512-8869;63'28500154; 36'71499846 
Telekom;483;Chiguayante;26/2/08;0.03;false;false;Tourism;Self-motivation:Teamwork:Time Management;Battersea   Vale- 3051;82-856-6819;54'05978682; 45'94021318 
Amazon.com;228;Sluis;2/12/21;1.93;false;true;Consumer_Services;Leadership:Self-motivation:Decision Making;Cockspur  Pass- 2944;05-785-4195;85'25269132; 14'74730868 
Mars;401;Berlin;15/7/11;1.89;true;true;Finance;Adaptability:Communication:Adaptability;Thomas More   Route- 9594;95-234-6464;10'3243929; 89'6756071 
Biolife Grup;672;Tijuana;24/6/17;4.7;true;true;Media;Self-motivation:Adaptability:Learning;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
Carrefour;355;Fujian;10/8/16;0.6;true;true;Information_Technology;Time Management:Learning:Leadership;Hickory Lane Road- 8735;74-229-6137;23'11396537; 76'88603463 
Global Print;638;Belfast;25/9/07;3.61;true;true;Tourism;Learning:Work Under Pressure:Work Under Pressure;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
ExxonMobil;853;Palmerston North;18/11/08;2.03;true;true;Consumer_Services;Self-motivation:Decision Making:Self-motivation;Garfield Avenue- 8738;23-852-9178;56'51479604; 43'48520396 
Danone;477;Develi;9/2/05;0.21;false;true;Finance;Learning:Teamwork:Communication;Castile  Pass- 1762;39-139-2652;59'31367429; 40'68632571 
Zepter;530;Limoges;25/10/12;1.98;true;true;Media;Leadership:Work Under Pressure:Leadership;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
Carrefour;435;Armenia;20/5/10;3.27;false;true;Information_Technology;Time Management:Conflict Resolution:Self-motivation;Hickory Lane Road- 8735;74-229-6137;23'11396537; 76'88603463 
Leadertech Consulting;56;San Francisco;18/8/18;3.69;false;true;Tourism;Learning:Work Under Pressure:Adaptability;Hampden  Walk- 3255;34-304-5913;40'65894569; 59'34105431 
Team Guard SRL;560;Bocchigliero;31/1/08;2.7;true;true;Consumer_Services;Leadership:Adaptability:Decision Making;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
Amazon.com;85;Berlin;3/6/19;2.58;false;false;Finance;Leadership:Leadership:Adaptability;Cockspur  Pass- 2944;05-785-4195;85'25269132; 14'74730868 
DynCorp;267;Ternitz;6/5/16;0.55;false;true;Media;Decision Making:Teamwork:Leadership;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
21st Century Fox;115;Caxias do Sul;26/11/15;1.93;false;false;Information_Technology;Decision Making:Conflict Resolution:Leadership;Norland  Pass- 8878;11-190-2838;87'78621339; 12'21378661 
Apple Inc.;576;Berlin;16/3/17;3.79;true;true;Tourism;Self-motivation:Learning:Teamwork;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
ExxonMobil;981;Santa Rosa de Cabal;11/5/22;3.29;false;true;Consumer_Services;Leadership:Self-motivation:Adaptability;Garfield Avenue- 8738;23-852-9178;56'51479604; 43'48520396 
It Smart Group;676;San Rafael;17/7/04;3.16;false;true;Finance;Self-motivation:Work Under Pressure:Leadership;Ayres   Alley- 5501;12-164-9192;27'00497999; 72'99502001 
Leadertech Consulting;60;Alto del Carmen;24/4/13;1.98;true;true;Media;Conflict Resolution:Learning:Adaptability;Hampden  Walk- 3255;34-304-5913;40'65894569; 59'34105431 
Apple Inc.;158;Margate;23/8/04;0.87;true;false;Information_Technology;Communication:Teamwork:Conflict Resolution;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
Zepter;386;Vienna;27/11/06;4.79;false;false;Tourism;Communication:Learning:Conflict Resolution;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
Demaco;662;Knittelfeld;4/10/09;1.25;true;true;Consumer_Services;Decision Making:Communication:Learning;Blenkarne  Walk- 7219;27-626-9028;82'07550399; 17'92449601 
Metro Cash&Carry;985;Barranca;7/6/04;3.27;true;true;Finance;Leadership:Conflict Resolution:Learning;Queensberry  Avenue- 4362;98-863-9436;23'41098727; 76'58901273 
Comodo;385;Bredene;26/12/09;2.13;true;true;Media;Time Management:Leadership:Conflict Resolution;Marischal  Hill- 1123;68-057-7309;42'14314818; 57'85685182 
Vodafone;552;Belfast;26/6/11;2.05;false;false;Information_Technology;Work Under Pressure:Leadership:Decision Making;Arlington  Hill- 6421;27-133-7473;87'85468562; 12'14531438 
Global Print;664;Tiel;12/1/23;2.6;true;false;Tourism;Communication:Time Management:Communication;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
AECOM;995;London;9/7/22;1.32;false;true;Consumer_Services;Leadership:Conflict Resolution:Self-motivation;Thomas Doyle   Boulevard- 606;41-251-1648;61'02248841; 38'97751159 
ExxonMobil;596;Canberra;23/11/21;0.81;true;false;Finance;Leadership:Self-motivation:Leadership;Garfield Avenue- 8738;23-852-9178;56'51479604; 43'48520396 
Demaco;451;Ceuta;4/12/21;3.11;true;true;Media;Decision Making:Conflict Resolution:Teamwork;Blenkarne  Walk- 7219;27-626-9028;82'07550399; 17'92449601 
ExxonMobil;469;Huesca;13/2/11;1.31;false;true;Information_Technology;Teamwork:Decision Making:Time Management;Garfield Avenue- 8738;23-852-9178;56'51479604; 43'48520396 
Amazon.com;192;Tibet;15/1/11;3.9;false;true;Tourism;Decision Making:Time Management:Leadership;Cockspur  Pass- 2944;05-785-4195;85'25269132; 14'74730868 
Global Print;752;London;3/2/12;1.71;true;false;Consumer_Services;Communication:Adaptability:Time Management;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
Telekom;425;Morrinsville;22/7/21;0.73;false;true;Finance;Self-motivation:Adaptability:Learning;Battersea   Vale- 3051;82-856-6819;54'05978682; 45'94021318 
DynCorp;158;Dublin;15/2/11;3.49;false;true;Media;Work Under Pressure:Communication:Conflict Resolution;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
Danone;347;London;16/6/21;2.26;true;false;Information_Technology;Time Management:Decision Making:Decision Making;Castile  Pass- 1762;39-139-2652;59'31367429; 40'68632571 
Metro Cash&Carry;643;Jilin;18/12/11;2.29;true;true;Tourism;Communication:Time Management:Time Management;Queensberry  Avenue- 4362;98-863-9436;23'41098727; 76'58901273 
Mars;907;Berlin;4/8/07;4.68;true;true;Consumer_Services;Conflict Resolution:Learning:Self-motivation;Thomas More   Route- 9594;95-234-6464;10'3243929; 89'6756071 
Biolife Grup;472;Nieuwegein;6/9/17;0.07;true;true;Finance;Conflict Resolution:Learning:Communication;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
Biolife Grup;866;Palencia;13/11/12;4.82;false;false;Media;Leadership:Leadership:Conflict Resolution;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
Leadertech Consulting;574;Dublin;1/3/05;0.11;false;false;Information_Technology;Self-motivation:Teamwork:Conflict Resolution;Hampden  Walk- 3255;34-304-5913;40'65894569; 59'34105431 
Erickson;623;Talence;2/10/18;4.88;false;false;Tourism;Communication:Learning:Leadership;Clifton  Street- 3000;16-630-0213;78'51107126; 21'48892874 
Telekom;151;Guangdong;13/3/06;4.71;false;true;Consumer_Services;Decision Making:Communication:Communication;Battersea   Vale- 3051;82-856-6819;54'05978682; 45'94021318 
Carrefour;639;Mandurah;30/3/18;0.91;false;false;Finance;Self-motivation:Decision Making:Adaptability;Hickory Lane Road- 8735;74-229-6137;23'11396537; 76'88603463 
Danone;76;San Antonio;16/7/11;3.96;false;true;Media;Time Management:Work Under Pressure:Time Management;Castile  Pass- 1762;39-139-2652;59'31367429; 40'68632571 
Biolife Grup;943;Bournemouth;6/9/08;0.16;true;false;Information_Technology;Adaptability:Learning:Learning;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
Coca-Cola Company;914;Alajuela;4/11/13;1.31;true;true;Tourism;Work Under Pressure:Decision Making:Leadership;Camdenhurst   Vale- 4094;71-704-4086;63'89545733; 36'10454267 
Biolife Grup;444;New Haven;31/7/18;3.73;true;false;Consumer_Services;Conflict Resolution:Leadership:Teamwork;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
CarMax;165;Kincardine;11/8/13;4.2;false;false;Finance;Leadership:Learning:Leadership;Antrobus   Way- 7262;04-813-7296;18'7340424; 81'2659576 
Apple Inc.;541;Miramichi;7/7/05;0.77;true;false;Media;Learning:Time Management:Decision Making;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
ENEL;191;Chongqing;24/2/21;4.96;false;true;Information_Technology;Work Under Pressure:Leadership:Work Under Pressure;Calvin   Boulevard- 2060;19-221-8298;93'62720201; 6'372797994 
Comodo;267;Florencia;23/1/22;2.08;true;false;Tourism;Adaptability:Adaptability:Adaptability;Marischal  Hill- 1123;68-057-7309;42'14314818; 57'85685182 
Biolife Grup;64;Gravelbourg;15/6/08;1.99;false;false;Consumer_Services;Conflict Resolution:Self-motivation:Leadership;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
Apple Inc.;683;Barranca;18/12/13;2.05;true;true;Finance;Decision Making:Learning:Leadership;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
DynCorp;533;Santa Fiora;14/6/10;1.0;true;true;Media;Adaptability:Work Under Pressure:Learning;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
Boeing;513;Yunnan;3/9/17;3.35;true;false;Information_Technology;Time Management:Teamwork:Decision Making;Heritage Vale- 1042;91-512-8869;63'28500154; 36'71499846 
Boeing;474;Rome;1/6/07;1.67;false;false;Tourism;Time Management:Conflict Resolution:Teamwork;Heritage Vale- 1042;91-512-8869;63'28500154; 36'71499846 
Apple Inc.;118;Cartagena;15/7/11;4.08;false;false;Consumer_Services;Leadership:Learning:Time Management;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
Coca-Cola Company;112;Winterswijk;24/10/12;3.54;false;false;Finance;Self-motivation:Work Under Pressure:Work Under Pressure;Camdenhurst   Vale- 4094;71-704-4086;63'89545733; 36'10454267 
Danone;754;Heredia;12/4/17;4.21;true;false;Media;Time Management:Leadership:Teamwork;Castile  Pass- 1762;39-139-2652;59'31367429; 40'68632571 
Biolife Grup;289;Oevel;24/8/04;0.33;false;false;Information_Technology;Teamwork:Learning:Conflict Resolution;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
AECOM;563;Montese;29/4/12;2.94;false;true;Tourism;Work Under Pressure:Conflict Resolution:Learning;Thomas Doyle   Boulevard- 606;41-251-1648;61'02248841; 38'97751159 
ExxonMobil;690;Patos;20/10/12;0.72;true;true;Consumer_Services;Leadership:Conflict Resolution:Work Under Pressure;Garfield Avenue- 8738;23-852-9178;56'51479604; 43'48520396 
Leadertech Consulting;733;Rome;16/2/06;4.15;false;true;Finance;Time Management:Decision Making:Time Management;Hampden  Walk- 3255;34-304-5913;40'65894569; 59'34105431 
Mars;742;Mariakerke;12/8/09;0.29;false;false;Media;Leadership:Decision Making:Leadership;Thomas More   Route- 9594;95-234-6464;10'3243929; 89'6756071 
Team Guard SRL;553;Lelystad;10/4/06;3.12;false;false;Information_Technology;Adaptability:Self-motivation:Communication;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
Demaco;282;Stirling;3/2/20;1.37;true;false;Tourism;Conflict Resolution:Decision Making:Communication;Blenkarne  Walk- 7219;27-626-9028;82'07550399; 17'92449601 
Telekom;266;Jerez de la Frontera;30/7/06;3.46;false;true;Consumer_Services;Time Management:Decision Making:Adaptability;Battersea   Vale- 3051;82-856-6819;54'05978682; 45'94021318 
Coca-Cola Company;420;Inverness;26/9/21;1.32;true;false;Finance;Self-motivation:Time Management:Teamwork;Camdenhurst   Vale- 4094;71-704-4086;63'89545733; 36'10454267 
ENEL;410;Berlin;6/3/07;2.16;false;true;Media;Leadership:Self-motivation:Leadership;Calvin   Boulevard- 2060;19-221-8298;93'62720201; 6'372797994 
Danone;334;Balclutha;11/12/12;0.22;true;true;Information_Technology;Leadership:Work Under Pressure:Communication;Castile  Pass- 1762;39-139-2652;59'31367429; 40'68632571 
CarMax;116;Greater Hobart;3/12/21;3.68;true;true;Tourism;Leadership:Decision Making:Adaptability;Antrobus   Way- 7262;04-813-7296;18'7340424; 81'2659576 
Metro Cash&Carry;453;Puntarenas;12/6/15;2.8;false;true;Consumer_Services;Self-motivation:Leadership:Leadership;Queensberry  Avenue- 4362;98-863-9436;23'41098727; 76'58901273 
Boeing;842;Winnipeg;15/3/17;1.87;true;false;Finance;Teamwork:Self-motivation:Communication;Heritage Vale- 1042;91-512-8869;63'28500154; 36'71499846 
21st Century Fox;366;Onoz;24/6/21;4.6;true;false;Media;Conflict Resolution:Teamwork:Learning;Norland  Pass- 8878;11-190-2838;87'78621339; 12'21378661 
Areon Impex;921;Santander;19/5/19;0.65;false;true;Information_Technology;Learning:Teamwork:Work Under Pressure;Abbots   Avenue- 4390;48-814-4979;42'98366067; 57'01633933 
DynCorp;959;Salamanca;7/9/17;0.26;false;false;Tourism;Conflict Resolution:Self-motivation:Learning;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
21st Century Fox;479;Redcliffe;8/4/07;2.57;true;true;Consumer_Services;Self-motivation:Adaptability:Time Management;Norland  Pass- 8878;11-190-2838;87'78621339; 12'21378661 
Global Print;125;Placanica;19/10/08;0.72;false;false;Finance;Conflict Resolution:Learning:Time Management;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
Amazon.com;356;San Vicente;1/5/13;2.72;false;true;Media;Self-motivation:Communication:Teamwork;Cockspur  Pass- 2944;05-785-4195;85'25269132; 14'74730868 
Danone;765;Dublin;27/1/13;1.28;false;false;Information_Technology;Communication:Adaptability:Leadership;Castile  Pass- 1762;39-139-2652;59'31367429; 40'68632571 
Team Guard SRL;719;Arica;27/2/18;3.39;false;true;Tourism;Conflict Resolution:Conflict Resolution:Self-motivation;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
Team Guard SRL;501;Limoges;6/9/05;2.92;true;false;Consumer_Services;Decision Making:Teamwork:Teamwork;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
Global Print;432;Tocopilla;4/8/04;1.8;false;false;Finance;Leadership:Decision Making:Communication;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
DynCorp;688;El Tabo;2/4/12;3.21;false;false;Information_Technology;Leadership:Conflict Resolution:Work Under Pressure;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
Zepter;89;Geneva;14/5/12;4.44;false;true;Tourism;Adaptability:Adaptability:Self-motivation;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
Comcast;681;London;13/12/07;2.87;true;false;Consumer_Services;Work Under Pressure:Communication:Time Management;Clissold  Vale- 1898;16-220-1378;40'29349545; 59'70650455 
Zepter;969;Alphen aan den Rijn;29/6/16;3.43;false;true;Finance;Leadership:Decision Making:Teamwork;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
BuzzFeed;438;Vienna;15/1/16;3.34;false;false;Media;Work Under Pressure:Conflict Resolution:Work Under Pressure;Sherwood  Crossroad- 8087;73-095-9964;85'69108738; 14'30891262 
Carrefour;204;Weiz;21/3/12;3.44;false;true;Information_Technology;Self-motivation:Decision Making:Learning;Hickory Lane Road- 8735;74-229-6137;23'11396537; 76'88603463 
Demaco;550;Geneva;18/7/13;2.46;false;true;Tourism;Learning:Teamwork:Work Under Pressure;Blenkarne  Walk- 7219;27-626-9028;82'07550399; 17'92449601 
Leadertech Consulting;709;Kingston-on-Thames;24/7/22;1.75;true;true;Consumer_Services;Learning:Conflict Resolution:Self-motivation;Hampden  Walk- 3255;34-304-5913;40'65894569; 59'34105431 
DynCorp;337;Geneva;22/7/07;2.3;true;false;Finance;Leadership:Teamwork:Communication;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
BuzzFeed;350;Los Muermos;20/10/04;3.11;false;true;Media;Conflict Resolution:Work Under Pressure:Teamwork;Sherwood  Crossroad- 8087;73-095-9964;85'69108738; 14'30891262 
AECOM;342;Limoges;17/11/04;1.7;false;true;Information_Technology;Work Under Pressure:Self-motivation:Adaptability;Thomas Doyle   Boulevard- 606;41-251-1648;61'02248841; 38'97751159 
UPC;452;Höchst;11/4/21;2.45;true;true;Tourism;Teamwork:Decision Making:Decision Making;Waldram Park  Avenue- 6693;85-489-5400;79'02529636; 20'97470364 
Mars;810;Gifhorn;3/5/12;3.15;false;true;Consumer_Services;Teamwork:Conflict Resolution:Leadership;Thomas More   Route- 9594;95-234-6464;10'3243929; 89'6756071 
BuzzFeed;821;Guaitecas;28/6/09;3.75;true;false;Finance;Learning:Time Management:Adaptability;Sherwood  Crossroad- 8087;73-095-9964;85'69108738; 14'30891262 
CarMax;465;Machynlleth;8/12/08;3.39;false;true;Media;Leadership:Learning:Self-motivation;Antrobus   Way- 7262;04-813-7296;18'7340424; 81'2659576 
Demaco;838;Rio Marina;31/7/15;1.82;false;false;Information_Technology;Leadership:Time Management:Teamwork;Blenkarne  Walk- 7219;27-626-9028;82'07550399; 17'92449601 
UPC;798;Oosterhout;22/9/10;0.3;false;true;Tourism;Time Management:Work Under Pressure:Decision Making;Waldram Park  Avenue- 6693;85-489-5400;79'02529636; 20'97470364 
Zepter;763;Oxford;14/8/16;3.98;true;false;Consumer_Services;Time Management:Work Under Pressure:Self-motivation;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
Team Guard SRL;448;Recife;10/2/17;2.71;true;true;Finance;Self-motivation:Teamwork:Adaptability;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
ExxonMobil;106;Rome;24/10/14;4.49;false;true;Media;Learning:Work Under Pressure:Leadership;Garfield Avenue- 8738;23-852-9178;56'51479604; 43'48520396 
DynCorp;426;Belfast;1/7/13;2.29;true;false;Information_Technology;Leadership:Leadership:Self-motivation;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
Zepter;456;Putignano;28/9/15;3.51;false;false;Tourism;Time Management:Learning:Teamwork;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
ENEL;903;Erlangen;7/11/09;0.09;true;false;Consumer_Services;Teamwork:Teamwork:Learning;Calvin   Boulevard- 2060;19-221-8298;93'62720201; 6'372797994 
Demaco;843;Brive-la-Gaillarde;29/9/20;2.4;false;true;Finance;Decision Making:Conflict Resolution:Work Under Pressure;Blenkarne  Walk- 7219;27-626-9028;82'07550399; 17'92449601 
Coca-Cola Company;215;Tirrases;12/2/13;3.09;false;true;Media;Adaptability:Teamwork:Learning;Camdenhurst   Vale- 4094;71-704-4086;63'89545733; 36'10454267 
Vodafone;610;Ulloa (Barrial];25/11/14;2.05;true;true;Information_Technology;Time Management:Adaptability:Decision Making;Arlington  Hill- 6421;27-133-7473;87'85468562; 12'14531438 
Global Print;655;San Pablo;15/10/18;0.9;true;true;Tourism;Adaptability:Adaptability:Learning;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
Demaco;962;Spijkenisse;13/11/06;3.44;false;true;Consumer_Services;Communication:Teamwork:Teamwork;Blenkarne  Walk- 7219;27-626-9028;82'07550399; 17'92449601 
Danone;688;Gaasbeek;17/8/12;2.83;false;false;Finance;Self-motivation:Leadership:Conflict Resolution;Castile  Pass- 1762;39-139-2652;59'31367429; 40'68632571 
Biolife Grup;502;North Battleford;22/7/09;1.8;true;false;Media;Decision Making:Communication:Decision Making;Bempton   Avenue- 2468;45-207-1411;42'48841058; 57'51158942 
21st Century Fox;763;Oxford;10/6/18;3.4;true;false;Information_Technology;Communication:Conflict Resolution:Work Under Pressure;Norland  Pass- 8878;11-190-2838;87'78621339; 12'21378661 
UPC;755;Fuenlabrada;5/9/11;1.26;true;false;Tourism;Adaptability:Adaptability:Self-motivation;Waldram Park  Avenue- 6693;85-489-5400;79'02529636; 20'97470364 
Team Guard SRL;500;Oxford;11/8/11;0.06;true;false;Consumer_Services;Self-motivation:Decision Making:Adaptability;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
Leadertech Consulting;591;Liaoning;31/1/22;2.62;false;true;Finance;Conflict Resolution:Leadership:Work Under Pressure;Hampden  Walk- 3255;34-304-5913;40'65894569; 59'34105431 
Global Print;237;California;27/10/07;2.61;true;false;Media;Time Management:Learning:Learning;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
Facebook;835;Bremerhaven;23/12/07;3.57;true;false;Information_Technology;Conflict Resolution:Conflict Resolution:Work Under Pressure;Carltoun   Walk- 7017;52-353-7868;95'99744318; 4'002556824 
21st Century Fox;128;Milnathort;16/2/11;3.19;true;false;Tourism;Learning:Time Management:Teamwork;Norland  Pass- 8878;11-190-2838;87'78621339; 12'21378661 
Vodafone;716;Santa Juana;3/9/09;4.78;true;false;Consumer_Services;Conflict Resolution:Learning:Work Under Pressure;Arlington  Hill- 6421;27-133-7473;87'85468562; 12'14531438 
Erickson;941;Pachuca;13/1/11;0.22;false;true;Finance;Work Under Pressure:Time Management:Leadership;Clifton  Street- 3000;16-630-0213;78'51107126; 21'48892874 
CarMax;916;Waterbury;19/11/22;1.23;false;true;Media;Self-motivation:Learning:Adaptability;Antrobus   Way- 7262;04-813-7296;18'7340424; 81'2659576 
Facebook;741;Tumba;29/1/09;2.22;false;false;Information_Technology;Learning:Decision Making:Conflict Resolution;Carltoun   Walk- 7017;52-353-7868;95'99744318; 4'002556824 
AECOM;864;California;2/2/19;3.96;true;false;Tourism;Time Management:Adaptability:Teamwork;Thomas Doyle   Boulevard- 606;41-251-1648;61'02248841; 38'97751159 
Mars;376;Hamburg;28/1/07;4.19;true;false;Consumer_Services;Adaptability:Teamwork:Work Under Pressure;Thomas More   Route- 9594;95-234-6464;10'3243929; 89'6756071 
Areon Impex;54;Landeck;25/10/04;0.18;true;true;Finance;Conflict Resolution:Learning:Self-motivation;Abbots   Avenue- 4390;48-814-4979;42'98366067; 57'01633933 
Team Guard SRL;281;Canberra;3/10/09;4.16;true;false;Media;Communication:Decision Making:Work Under Pressure;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
Leadertech Consulting;232;Taupo;6/12/05;3.96;true;true;Information_Technology;Decision Making:Self-motivation:Time Management;Hampden  Walk- 3255;34-304-5913;40'65894569; 59'34105431 
CarMax;181;Canberra;3/8/09;0.28;true;false;Tourism;Time Management:Work Under Pressure:Decision Making;Antrobus   Way- 7262;04-813-7296;18'7340424; 81'2659576 
Metro Cash&Carry;772;Leoben;25/11/10;4.08;false;true;Consumer_Services;Time Management:Learning:Self-motivation;Queensberry  Avenue- 4362;98-863-9436;23'41098727; 76'58901273 
Global Print;419;Timon;12/4/08;3.88;true;false;Finance;Self-motivation:Time Management:Decision Making;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
Apple Inc.;678;California;26/9/17;2.19;false;false;Media;Adaptability:Leadership:Communication;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
Apple Inc.;856;Motala;2/3/18;1.97;true;false;Information_Technology;Decision Making:Teamwork:Leadership;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
DynCorp;457;California;29/7/16;1.92;true;false;Tourism;Teamwork:Communication:Time Management;Blackpool  Boulevard- 8973;71-434-2148;98'61163461; 1'388365395 
Telekom;270;Oaxaca;8/12/07;1.08;true;false;Consumer_Services;Leadership:Adaptability:Learning;Battersea   Vale- 3051;82-856-6819;54'05978682; 45'94021318 
Amazon.com;341;Whitehorse;17/3/14;3.5;true;false;Finance;Learning:Conflict Resolution:Conflict Resolution;Cockspur  Pass- 2944;05-785-4195;85'25269132; 14'74730868 
Coca-Cola Company;757;Alness;11/3/09;2.19;false;false;Media;Teamwork:Self-motivation:Self-motivation;Camdenhurst   Vale- 4094;71-704-4086;63'89545733; 36'10454267 
ENEL;90;Ternat;16/4/22;0.98;true;false;Information_Technology;Communication:Learning:Work Under Pressure;Calvin   Boulevard- 2060;19-221-8298;93'62720201; 6'372797994 
21st Century Fox;684;Vlimmeren;17/2/08;1.53;true;false;Tourism;Teamwork:Decision Making:Learning;Norland  Pass- 8878;11-190-2838;87'78621339; 12'21378661 
Metro Cash&Carry;229;California;24/9/08;0.37;false;false;Consumer_Services;Decision Making:Work Under Pressure:Decision Making;Queensberry  Avenue- 4362;98-863-9436;23'41098727; 76'58901273 
Telekom;520;New York;29/8/10;3.13;true;true;Finance;Self-motivation:Decision Making:Learning;Battersea   Vale- 3051;82-856-6819;54'05978682; 45'94021318 
Team Guard SRL;571;Chicago;26/1/13;2.67;true;false;Media;Adaptability:Learning:Learning;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
BuzzFeed;284;Korbach;14/4/06;4.22;false;false;Information_Technology;Self-motivation:Adaptability:Work Under Pressure;Sherwood  Crossroad- 8087;73-095-9964;85'69108738; 14'30891262 
